job_title,country,what_do_with_data,generate_human_data,file_size,subject_area,molecular_or_gene_data,deposit_repo_always,aware_should_deposit,generate_other_types,data_discoverable_importance,barrier_lack_of_time,barrier_organizing_data,barrier_which_repo,barrier_copyright_licensing,barrier_sharing_cost,barrier_other,interest_data_dep_service,interest_data_discov_service,have_data_to_deposit,want_other_help,want_help_with,have_addtl_info,addtl_info
Quaternary Scientist,GB - United Kingdom,deposit_repo,FALSE,<20Mb,earth_sciences,NA,NA,NA,NA,10,FALSE,FALSE,TRUE,FALSE,FALSE,NA,10,10,TRUE,TRUE,A,FALSE,NA
professor,CH - Switzerland,neither,TRUE,Don't know,medical_sciences,FALSE,NA,FALSE,TRUE,9,TRUE,TRUE,FALSE,FALSE,FALSE,NA,9,9,FALSE,TRUE,management and analyses,FALSE,NA
Engineer,US - United States,neither,TRUE,<20Mb,medical_sciences,FALSE,NA,TRUE,TRUE,5,FALSE,TRUE,TRUE,TRUE,TRUE,NA,5,5,TRUE,FALSE,NA,FALSE,NA
Professor,SE - Sweden,both,TRUE,1Gb - 5Gb,medical_sciences,TRUE,TRUE,NA,TRUE,10,TRUE,TRUE,FALSE,FALSE,FALSE,NA,10,10,TRUE,FALSE,NA,FALSE,NA
Principal Researcher,GB - United Kingdom,deposit_repo,FALSE,20Mb -100Mb,physical_sciences,NA,NA,NA,NA,5,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,8,FALSE,FALSE,NA,FALSE,NA
Assistant Professor,PT - Portugal,submit_suppl,FALSE,<20Mb,earth_sciences,NA,NA,NA,NA,10,FALSE,FALSE,FALSE,TRUE,TRUE,NA,7,7,FALSE,FALSE,NA,FALSE,NA
Assistant professor,HU - Hungary,submit_suppl,TRUE,5Gb - 20Gb,medical_sciences,FALSE,NA,TRUE,TRUE,7,FALSE,FALSE,TRUE,TRUE,FALSE,NA,9,9,FALSE,FALSE,NA,FALSE,NA
Assistant Professor,BG - Bulgaria,submit_suppl,TRUE,Don't know,medical_sciences,FALSE,NA,FALSE,TRUE,10,FALSE,TRUE,FALSE,TRUE,FALSE,NA,5,7,FALSE,FALSE,NA,FALSE,NA
Student,IN - India,submit_suppl,TRUE,1Gb - 5Gb,earth_sciences,NA,NA,NA,NA,10,TRUE,FALSE,TRUE,FALSE,TRUE,NA,10,10,FALSE,TRUE,NA,FALSE,NA
"MD, PhD, Radiologist",IT - Italy,neither,TRUE,1Gb - 5Gb,medical_sciences,FALSE,NA,FALSE,TRUE,7,FALSE,FALSE,FALSE,TRUE,FALSE,NA,8,8,TRUE,FALSE,NA,FALSE,NA
Researcher,JP - Japan,both,FALSE,<20Mb,physical_sciences,NA,NA,NA,NA,6,FALSE,FALSE,TRUE,FALSE,FALSE,NA,6,7,FALSE,FALSE,NA,FALSE,NA
Assoc. Prof.,AT - Austria,both,FALSE,20Mb -100Mb,biological_sciences,TRUE,TRUE,NA,FALSE,8,TRUE,TRUE,FALSE,FALSE,FALSE,NA,6,7,FALSE,FALSE,NA,FALSE,NA
PhD,ES - Spain,submit_suppl,TRUE,20Mb -100Mb,biological_sciences,TRUE,FALSE,NA,FALSE,9,FALSE,TRUE,FALSE,FALSE,FALSE,NA,7,8,TRUE,FALSE,NA,FALSE,NA
Professor,US - United States,both,FALSE,<20Mb,biological_sciences,TRUE,TRUE,NA,TRUE,7,FALSE,TRUE,TRUE,TRUE,TRUE,NA,6,6,FALSE,FALSE,NA,FALSE,NA
Researcher,FR - France,submit_suppl,FALSE,<20Mb,biological_sciences,TRUE,TRUE,NA,TRUE,7,TRUE,TRUE,TRUE,TRUE,FALSE,NA,7,7,FALSE,FALSE,NA,FALSE,NA
PhD,NL - Netherlands,submit_suppl,TRUE,20Mb -100Mb,biological_sciences,TRUE,FALSE,FALSE,FALSE,9,FALSE,FALSE,TRUE,TRUE,TRUE,NA,5,5,FALSE,TRUE,NA,FALSE,NA
Scientist,ES - Spain,deposit_repo,FALSE,<20Mb,earth_sciences,NA,NA,NA,NA,10,TRUE,TRUE,FALSE,FALSE,FALSE,NA,10,10,FALSE,FALSE,NA,FALSE,NA
Visiting Scholar,US - United States,deposit_repo,FALSE,Don't know,biological_sciences,FALSE,NA,TRUE,TRUE,10,FALSE,FALSE,TRUE,TRUE,TRUE,NA,10,10,FALSE,TRUE,organising it into accessible chunks so that meaningful post hoc analyses by other researchers can occur,TRUE,my data is sound files and corresponding measurements taken from sound files. I'm never sure if it's more helpful to provide the raw audio or the measurements or both
President,US - United States,neither,FALSE,5Gb - 20Gb,medical_sciences,FALSE,NA,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,Not permitted to share administrative data based on license,0,0,FALSE,FALSE,NA,TRUE,"Much of the data we use in health outcomes research is administrative data, often healthcare claims, and may not be shared based on the license agreement."
Professor,RU - Russia,submit_suppl,FALSE,20Mb -100Mb,biological_sciences,TRUE,FALSE,FALSE,TRUE,8,FALSE,TRUE,FALSE,FALSE,FALSE,NA,8,8,TRUE,TRUE,cloud services,FALSE,NA
"Research Group Leader, retired",DE - Germany,submit_suppl,FALSE,100Mb - 1Gb,physical_sciences,NA,NA,NA,NA,10,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,NA,FALSE,NA,FALSE,NA
Postdoctoral researcher,ES - Spain,submit_suppl,FALSE,<20Mb,earth_sciences,NA,NA,NA,NA,9,FALSE,TRUE,FALSE,FALSE,FALSE,NA,10,10,FALSE,FALSE,NA,FALSE,NA
Postdoc,TW - Taiwan,submit_suppl,TRUE,<20Mb,biological_sciences,TRUE,FALSE,TRUE,FALSE,10,TRUE,TRUE,TRUE,FALSE,FALSE,NA,5,5,FALSE,TRUE,By email,FALSE,NA
Prof,IT - Italy,submit_suppl,FALSE,20Mb -100Mb,biological_sciences,TRUE,TRUE,NA,FALSE,8,FALSE,FALSE,TRUE,FALSE,TRUE,NA,8,10,TRUE,FALSE,NA,FALSE,NA
professor,IT - Italy,both,FALSE,100Mb - 1Gb,medical_sciences,TRUE,FALSE,TRUE,TRUE,7,FALSE,TRUE,FALSE,FALSE,FALSE,NA,8,9,TRUE,TRUE,organization of the data,FALSE,NA
Professor,IT - Italy,submit_suppl,TRUE,Don't know,biological_sciences,FALSE,NA,FALSE,TRUE,10,FALSE,FALSE,TRUE,FALSE,FALSE,NA,10,10,FALSE,FALSE,NA,FALSE,NA
Assistant Professor,CA - Canada,neither,FALSE,1Gb - 5Gb,biological_sciences,TRUE,FALSE,TRUE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,NA,7,10,TRUE,TRUE,Back-up and storage,FALSE,NA
PhD Student,"FX - France, Metropolitan",deposit_repo,FALSE,1Gb - 5Gb,medical_sciences,FALSE,NA,FALSE,TRUE,8,FALSE,FALSE,TRUE,TRUE,FALSE,NA,7,8,FALSE,FALSE,NA,FALSE,NA
MD,AR - Argentina,neither,TRUE,20Mb -100Mb,medical_sciences,FALSE,NA,FALSE,TRUE,5,FALSE,TRUE,TRUE,TRUE,FALSE,NA,5,10,TRUE,FALSE,NA,TRUE,my research issues
Professor,BE - Belgium,both,FALSE,<20Mb,biological_sciences,TRUE,TRUE,NA,TRUE,4,TRUE,TRUE,TRUE,TRUE,FALSE,NA,6,6,FALSE,FALSE,NA,FALSE,NA
Senior Research Fellow,GB - United Kingdom,submit_suppl,FALSE,100Mb - 1Gb,biological_sciences,FALSE,NA,TRUE,FALSE,7,FALSE,TRUE,FALSE,TRUE,TRUE,NA,5,5,FALSE,FALSE,NA,FALSE,NA
Scientific researcher,RO - Romania,deposit_repo,TRUE,<20Mb,earth_sciences,NA,NA,NA,NA,10,FALSE,TRUE,FALSE,FALSE,FALSE,NA,7,9,FALSE,FALSE,NA,FALSE,NA
Professor emeritus,FR - France,submit_suppl,FALSE,<20Mb,biological_sciences,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,0,0,FALSE,FALSE,NA,FALSE,NA
Research supervisor,SE - Sweden,deposit_repo,TRUE,20Mb -100Mb,medical_sciences,FALSE,NA,TRUE,FALSE,10,FALSE,TRUE,FALSE,TRUE,FALSE,NA,2,7,FALSE,FALSE,NA,FALSE,NA
Professor,DE - Germany,deposit_repo,FALSE,100Mb - 1Gb,biological_sciences,TRUE,FALSE,TRUE,FALSE,7,FALSE,TRUE,TRUE,FALSE,TRUE,NA,5,5,TRUE,FALSE,NA,FALSE,NA
Professor,US - United States,neither,FALSE,Don't know,biological_sciences,TRUE,FALSE,TRUE,TRUE,6,FALSE,FALSE,FALSE,FALSE,FALSE,Question too vague - ability to mine data first is critical. Patent issues. most data not in these categories,0,0,FALSE,FALSE,NA,FALSE,NA
Reader,GB - United Kingdom,both,TRUE,100Mb - 1Gb,biological_sciences,TRUE,TRUE,NA,TRUE,7,FALSE,FALSE,TRUE,FALSE,TRUE,NA,8,8,TRUE,FALSE,NA,FALSE,NA
Professor,GB - United Kingdom,both,FALSE,Don't know,biological_sciences,TRUE,TRUE,NA,TRUE,10,FALSE,FALSE,TRUE,FALSE,FALSE,NA,0,8,TRUE,FALSE,NA,FALSE,NA
Staff Scientist,SK - Slovakia,both,FALSE,<20Mb,biological_sciences,TRUE,FALSE,NA,FALSE,5,FALSE,TRUE,FALSE,TRUE,TRUE,NA,5,6,TRUE,FALSE,NA,FALSE,NA
Leading researcher,RU - Russia,submit_suppl,FALSE,20Mb -100Mb,biological_sciences,TRUE,TRUE,NA,TRUE,8,FALSE,FALSE,FALSE,TRUE,TRUE,NA,8,8,TRUE,FALSE,NA,FALSE,NA
Assistant Professor,FR - France,both,FALSE,<20Mb,biological_sciences,TRUE,TRUE,NA,TRUE,6,FALSE,FALSE,FALSE,TRUE,FALSE,NA,9,9,TRUE,TRUE,Maybe publish data separately from an article?,FALSE,NA
professor,GB - United Kingdom,both,TRUE,1Gb - 5Gb,biological_sciences,TRUE,TRUE,NA,TRUE,9,FALSE,FALSE,TRUE,FALSE,FALSE,NA,5,5,FALSE,FALSE,NA,FALSE,NA
MD,IT - Italy,neither,TRUE,<20Mb,medical_sciences,FALSE,NA,TRUE,FALSE,6,FALSE,FALSE,TRUE,FALSE,FALSE,NA,5,5,FALSE,FALSE,NA,FALSE,NA
Researcher,SE - Sweden,neither,FALSE,20Mb -100Mb,biological_sciences,TRUE,FALSE,FALSE,FALSE,5,FALSE,FALSE,TRUE,FALSE,FALSE,NA,0,0,FALSE,FALSE,NA,FALSE,NA
Researcher,AT - Austria,neither,TRUE,20Mb -100Mb,medical_sciences,FALSE,NA,TRUE,TRUE,6,FALSE,FALSE,TRUE,FALSE,FALSE,NA,6,6,TRUE,FALSE,NA,FALSE,NA
Associate professor,US - United States,submit_suppl,TRUE,100Mb - 1Gb,biological_sciences,TRUE,FALSE,FALSE,TRUE,10,FALSE,FALSE,TRUE,TRUE,FALSE,NA,10,10,TRUE,FALSE,NA,FALSE,NA
Professor,"FX - France, Metropolitan",both,FALSE,100Mb - 1Gb,biological_sciences,TRUE,TRUE,NA,TRUE,5,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2,2,FALSE,FALSE,NA,FALSE,NA
postdoc,GB - United Kingdom,submit_suppl,FALSE,100Mb - 1Gb,biological_sciences,TRUE,TRUE,NA,TRUE,7,FALSE,TRUE,FALSE,TRUE,FALSE,NA,5,10,FALSE,FALSE,NA,FALSE,NA
retired geriatrician,GB - United Kingdom,neither,TRUE,100Mb - 1Gb,medical_sciences,FALSE,NA,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,FALSE,FALSE,NA,TRUE,my research activities spanned the period 1977-2000
Professor,IN - India,neither,TRUE,<20Mb,medical_sciences,FALSE,NA,FALSE,TRUE,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,FALSE,FALSE,NA,TRUE,Making research data publicly available risks misuse of those data.
Senior Researcher,DE - Germany,deposit_repo,FALSE,100Mb - 1Gb,physical_sciences,NA,NA,NA,NA,8,TRUE,TRUE,TRUE,FALSE,FALSE,NA,7,7,FALSE,TRUE,"Working towards standards for this, e.g. which tools to include, what level of reproduceability would be a consensus, etc.",TRUE,"Our data are of a complex nature, so that their straight deposit would not help, unless tools and skills are available to users. How to help here is completely unclear. It's not about how much, or how willing, it is more ""what's useful"""
Associate Professor,US - United States,submit_suppl,FALSE,<20Mb,biological_sciences,TRUE,TRUE,NA,TRUE,5,FALSE,FALSE,FALSE,TRUE,FALSE,NA,0,0,FALSE,FALSE,NA,FALSE,NA
research affiliat,CA - Canada,submit_suppl,FALSE,5Gb - 20Gb,biological_sciences,TRUE,TRUE,NA,TRUE,8,FALSE,TRUE,FALSE,FALSE,FALSE,NA,8,8,FALSE,FALSE,NA,FALSE,NA
Principal Investigator,ES - Spain,submit_suppl,FALSE,Don't know,biological_sciences,TRUE,TRUE,NA,FALSE,9,FALSE,TRUE,FALSE,FALSE,FALSE,NA,9,9,FALSE,FALSE,NA,FALSE,NA
Consultant Ophthalmologist,GB - United Kingdom,submit_suppl,TRUE,Don't know,medical_sciences,FALSE,NA,FALSE,TRUE,10,FALSE,TRUE,TRUE,TRUE,TRUE,NA,8,8,FALSE,FALSE,NA,FALSE,NA
professor,DK - Denmark,both,FALSE,20Mb -100Mb,biological_sciences,TRUE,FALSE,NA,FALSE,9,TRUE,TRUE,FALSE,TRUE,FALSE,NA,5,6,TRUE,FALSE,NA,FALSE,NA
Associate Professor,FI - Finland,both,FALSE,20Mb -100Mb,biological_sciences,FALSE,NA,FALSE,TRUE,9,FALSE,TRUE,TRUE,FALSE,FALSE,NA,9,9,TRUE,TRUE,"Mainly I don't have time to do this, so it would be great if I can merely dump my data somewhere with some instructions. And then someone on the 'other side' cleaning it up.",FALSE,NA
Dr,HR - Croatia,deposit_repo,TRUE,100Mb - 1Gb,medical_sciences,FALSE,NA,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,10,FALSE,TRUE,no,FALSE,NA
Professor,US - United States,deposit_repo,FALSE,<20Mb,biological_sciences,TRUE,TRUE,NA,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,0,FALSE,FALSE,NA,FALSE,NA
Senior lecturer,GB - United Kingdom,both,FALSE,100Mb - 1Gb,biological_sciences,TRUE,FALSE,NA,FALSE,10,TRUE,TRUE,TRUE,TRUE,TRUE,NA,7,10,TRUE,FALSE,NA,FALSE,NA
Directeur de Recherches au CNRS,FR - France,submit_suppl,FALSE,20Mb -100Mb,biological_sciences,TRUE,TRUE,NA,FALSE,10,FALSE,TRUE,FALSE,TRUE,FALSE,NA,5,7,FALSE,FALSE,NA,FALSE,NA
Profesor,SE - Sweden,submit_suppl,FALSE,20Mb -100Mb,biological_sciences,TRUE,FALSE,TRUE,TRUE,10,FALSE,TRUE,FALSE,FALSE,FALSE,NA,10,10,FALSE,FALSE,NA,NA,NA
Research Assistant Professor,US - United States,neither,TRUE,<20Mb,medical_sciences,FALSE,NA,FALSE,FALSE,5,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,4,FALSE,FALSE,NA,FALSE,NA
Senior Technical Officer,IE - Ireland,deposit_repo,FALSE,Don't know,NA,NA,NA,NA,NA,8,FALSE,TRUE,FALSE,TRUE,FALSE,NA,5,7,FALSE,FALSE,NA,FALSE,NA
Leading scientist,RU - Russia,both,FALSE,5Gb - 20Gb,biological_sciences,TRUE,TRUE,NA,TRUE,9,FALSE,TRUE,FALSE,FALSE,FALSE,NA,8,8,TRUE,FALSE,NA,FALSE,NA
post doctoral fellow,CA - Canada,submit_suppl,TRUE,100Mb - 1Gb,medical_sciences,TRUE,TRUE,NA,TRUE,8,FALSE,FALSE,FALSE,TRUE,FALSE,NA,10,10,TRUE,FALSE,NA,FALSE,NA
"Professor, coral reef biology",GB - United Kingdom,deposit_repo,FALSE,Don't know,biological_sciences,TRUE,TRUE,NA,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,6,FALSE,FALSE,NA,FALSE,NA
Professor,US - United States,deposit_repo,TRUE,20Mb -100Mb,biological_sciences,TRUE,FALSE,TRUE,TRUE,10,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,8,FALSE,FALSE,NA,FALSE,NA
Research Scientist,US - United States,both,FALSE,20Gb - 50 Gb,biological_sciences,TRUE,TRUE,NA,TRUE,10,FALSE,FALSE,FALSE,TRUE,FALSE,NA,6,6,FALSE,FALSE,NA,FALSE,NA
"Director,Quality and compliance",GB - United Kingdom,neither,TRUE,Don't know,medical_sciences,FALSE,NA,FALSE,TRUE,4,FALSE,TRUE,FALSE,TRUE,FALSE,NA,4,3,FALSE,FALSE,NA,TRUE,I work for a consultancy company so the data we generate is not under our control but under the control of our clients. Also it is patient data and so is released to us on the condition that it is not shared or published for data protection reasons
Scientific Program Specialist,US - United States,submit_suppl,TRUE,100Mb - 1Gb,biological_sciences,TRUE,FALSE,NA,FALSE,10,TRUE,TRUE,FALSE,TRUE,TRUE,NA,10,10,FALSE,FALSE,NA,FALSE,NA
Chef de Section,BE - Belgium,submit_suppl,FALSE,<20Mb,earth_sciences,NA,NA,NA,NA,10,FALSE,FALSE,TRUE,TRUE,FALSE,NA,8,10,FALSE,FALSE,NA,FALSE,NA
Licenciado,AR - Argentina,deposit_repo,FALSE,<20Mb,other_sciences,NA,NA,NA,NA,3,FALSE,FALSE,FALSE,TRUE,FALSE,NA,3,3,FALSE,FALSE,NA,FALSE,NA
Laboratory Supervisor,US - United States,both,FALSE,Don't know,biological_sciences,TRUE,TRUE,NA,FALSE,10,FALSE,FALSE,TRUE,FALSE,FALSE,NA,10,10,TRUE,FALSE,NA,TRUE,Mass Spectrometry Data
Post Doc Researcher,IN - India,submit_suppl,FALSE,20Mb -100Mb,biological_sciences,FALSE,NA,FALSE,TRUE,10,TRUE,TRUE,TRUE,TRUE,FALSE,NA,7,7,FALSE,FALSE,NA,FALSE,NA
Assistant Professor,US - United States,submit_suppl,FALSE,100Mb - 1Gb,earth_sciences,NA,NA,NA,NA,10,FALSE,TRUE,TRUE,TRUE,TRUE,NA,10,10,FALSE,FALSE,NA,FALSE,NA
Environmental Head Department,ES - Spain,submit_suppl,FALSE,100Mb - 1Gb,earth_sciences,NA,NA,NA,NA,7,FALSE,TRUE,FALSE,FALSE,FALSE,NA,6,9,TRUE,TRUE,NA,FALSE,NA
student,IN - India,submit_suppl,TRUE,20Mb -100Mb,medical_sciences,TRUE,TRUE,NA,TRUE,10,FALSE,FALSE,FALSE,TRUE,FALSE,NA,10,8,FALSE,FALSE,NA,FALSE,NA
Professor,ES - Spain,both,FALSE,<20Mb,biological_sciences,TRUE,TRUE,NA,TRUE,10,FALSE,FALSE,FALSE,FALSE,FALSE,"the ""truly searchable"" databases are DNA/prots",10,10,TRUE,TRUE,format,FALSE,NA
Scientist,IN - India,submit_suppl,FALSE,<20Mb,other_sciences,NA,NA,NA,NA,10,FALSE,TRUE,FALSE,FALSE,FALSE,NA,10,10,FALSE,TRUE,Sharing research,FALSE,NA
faculty,US - United States,both,FALSE,100Mb - 1Gb,biological_sciences,TRUE,FALSE,NA,FALSE,10,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,8,TRUE,TRUE,data formatting,FALSE,NA
Prof.,CH - Switzerland,neither,TRUE,Don't know,biological_sciences,FALSE,NA,TRUE,TRUE,9,FALSE,TRUE,FALSE,FALSE,FALSE,NA,7,8,FALSE,FALSE,NA,FALSE,NA
research scientist,US - United States,submit_suppl,FALSE,<20Mb,biological_sciences,TRUE,TRUE,NA,TRUE,5,TRUE,FALSE,FALSE,TRUE,FALSE,NA,5,6,FALSE,FALSE,NA,FALSE,NA
research assistant,LV - Latvia,deposit_repo,FALSE,20Mb -100Mb,biological_sciences,FALSE,NA,TRUE,TRUE,8,FALSE,TRUE,FALSE,TRUE,FALSE,NA,7,10,TRUE,FALSE,NA,FALSE,NA
epidemiologist,FR - France,submit_suppl,TRUE,<20Mb,medical_sciences,FALSE,NA,FALSE,FALSE,4,FALSE,TRUE,FALSE,FALSE,FALSE,NA,2,2,FALSE,FALSE,NA,FALSE,NA
Researcher,BR - Brazil,neither,FALSE,20Mb -100Mb,earth_sciences,NA,NA,NA,NA,10,FALSE,TRUE,FALSE,FALSE,FALSE,NA,10,10,TRUE,FALSE,NA,FALSE,NA
Research Scientist,FR - France,deposit_repo,FALSE,Don't know,biological_sciences,TRUE,TRUE,NA,FALSE,9,TRUE,TRUE,TRUE,FALSE,FALSE,NA,8,8,TRUE,FALSE,NA,FALSE,NA
Professor,SE - Sweden,deposit_repo,TRUE,<20Mb,medical_sciences,FALSE,NA,TRUE,TRUE,10,FALSE,FALSE,FALSE,FALSE,FALSE,NA,10,10,TRUE,FALSE,NA,FALSE,NA
Professor,BE - Belgium,submit_suppl,FALSE,<20Mb,biological_sciences,TRUE,TRUE,NA,TRUE,9,FALSE,TRUE,FALSE,FALSE,FALSE,NA,8,7,FALSE,FALSE,NA,FALSE,NA
Post Doc / Scientist,DE - Germany,neither,FALSE,1Gb - 5Gb,biological_sciences,TRUE,TRUE,NA,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,NA,7,7,TRUE,TRUE,high content microscopy & general image data,FALSE,NA
Professor,GB - United Kingdom,both,TRUE,20Mb -100Mb,biological_sciences,TRUE,TRUE,NA,TRUE,8,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1,1,FALSE,FALSE,NA,FALSE,NA
Associate professor,US - United States,neither,TRUE,Don't know,medical_sciences,FALSE,NA,TRUE,FALSE,4,FALSE,FALSE,FALSE,TRUE,FALSE,NA,0,0,FALSE,FALSE,NA,FALSE,NA
Professor,EG - Egypt,neither,TRUE,<20Mb,medical_sciences,TRUE,FALSE,FALSE,FALSE,10,FALSE,TRUE,TRUE,FALSE,TRUE,NA,8,10,FALSE,FALSE,NA,FALSE,NA
professor,FR - France,neither,TRUE,1Gb - 5Gb,biological_sciences,TRUE,FALSE,NA,FALSE,8,TRUE,TRUE,TRUE,TRUE,FALSE,NA,9,10,FALSE,TRUE,"long-term ""storage"" of the data",FALSE,NA
Visiting Scientist,IN - India,deposit_repo,FALSE,20Mb -100Mb,biological_sciences,TRUE,TRUE,NA,FALSE,10,FALSE,FALSE,FALSE,TRUE,FALSE,NA,10,10,TRUE,TRUE,Submission in NCBI or any other,TRUE,Molecular biology
MSc,UY - Uruguay,neither,TRUE,100Mb - 1Gb,biological_sciences,TRUE,FALSE,NA,FALSE,10,FALSE,TRUE,TRUE,TRUE,TRUE,NA,10,10,TRUE,TRUE,Presentation,FALSE,NA
Senior scientist,CH - Switzerland,neither,FALSE,100Mb - 1Gb,biological_sciences,FALSE,NA,TRUE,TRUE,10,FALSE,TRUE,FALSE,FALSE,FALSE,NA,5,6,TRUE,FALSE,NA,TRUE,methodology of how data is created
Director,US - United States,neither,TRUE,5Gb - 20Gb,medical_sciences,FALSE,NA,TRUE,TRUE,4,FALSE,TRUE,FALSE,TRUE,FALSE,Privacy and regulatory issues,7,7,TRUE,TRUE,"De-identification, transfer of data,",FALSE,NA
Dr,DE - Germany,deposit_repo,FALSE,<20Mb,biological_sciences,FALSE,NA,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,NA,5,5,FALSE,FALSE,NA,FALSE,NA
PHD student,CN - China,both,FALSE,<20Mb,earth_sciences,NA,NA,NA,NA,9,FALSE,TRUE,FALSE,FALSE,FALSE,NA,5,8,FALSE,FALSE,NA,FALSE,NA
